Year,Country,Export_USD
2013,中國大陸,13051806469.57
2013,南韓,6118736487.37
2013,新加坡,11773451290.8
2013,日本,4643032231.7300005
2013,泰國,975766440.02
2013,美國,1355886119.88
2013,菲律賓,1690159038.71
2013,越南,283566252.63
2013,香港,19014571673.3
2013,馬來西亞,2244017057.6
2014,中國大陸,15245240654.480001
2014,南韓,6680736885.0
2014,新加坡,13174190506.710001
2014,日本,5006792924.910001
2014,泰國,1228450439.33
2014,美國,1442640961.4799998
2014,菲律賓,2058171719.11
2014,越南,421414442.39000005
2014,香港,22519206224.24
2014,馬來西亞,2461779886.27
2015,中國大陸,14546562247.79
2015,南韓,7297432276.040001
2015,新加坡,11550115653.98
2015,日本,6437742886.4800005
2015,泰國,1138970586.81
2015,美國,1527325582.01
2015,菲律賓,2035755388.06
2015,越南,411183295.03999996
2015,香港,20137161150.03
2015,馬來西亞,2195493378.65
2016,中國大陸,19932323000.0
2016,南韓,6560228000.0
2016,新加坡,10954568000.0
2016,日本,6741192000.0
2016,泰國,1025014000.0
2016,美國,1328749000.0
2016,菲律賓,2224571000.0
2016,越南,435776000.0
2016,香港,23160080000.0
2016,馬來西亞,3375891000.0
2017,中國大陸,26408856000.0
2017,南韓,6811414000.0
2017,新加坡,12775883000.0
2017,日本,6869503000.0
2017,泰國,1409610000.0
2017,美國,1420458000.0
2017,菲律賓,2793211000.0
2017,越南,668639000.0
2017,香港,24793431000.0
2017,馬來西亞,5360129000.0
2018,中國大陸,30404993000.0
2018,南韓,6508022000.0
2018,新加坡,11691392000.0
2018,日本,7246559000.0
2018,泰國,1246823000.0
2018,美國,1504702000.0
2018,菲律賓,2817581000.0
2018,越南,415029000.0
2018,香港,25185734000.0
2018,馬來西亞,5313140000.0
2019,中國大陸,32509701000.0
2019,南韓,6968807000.0
2019,新加坡,12021259000.0
2019,日本,8106399000.0
2019,泰國,1190656000.0
2019,美國,1506507000.0
2019,菲律賓,2489772000.0
2019,越南,638374000.0
2019,香港,26737720000.0
2019,馬來西亞,4683678000.0
2020,中國大陸,41989697000.0
2020,南韓,8650837000.0
2020,新加坡,14469872000.0
2020,日本,9346630000.0
2020,泰國,1365317000.0
2020,美國,1615697000.0
2020,菲律賓,2622944000.0
2020,越南,943342000.0
2020,香港,32991183000.0
2020,馬來西亞,4821612000.0
2021,中國大陸,49027422000.0
2021,南韓,11604521000.0
2021,新加坡,18762288000.0
2021,日本,11894005000.0
2021,泰國,1659480000.0
2021,美國,2035852000.0
2021,菲律賓,2988405000.0
2021,越南,1864469000.0
2021,香港,44676357000.0
2021,馬來西亞,6276758000.0
2022,中國大陸,57546388000.0
2022,南韓,13996632000.0
2022,新加坡,20513478000.0
2022,日本,15782226000.0
2022,泰國,1967755000.0
2022,美國,3233863000.0
2022,菲律賓,3736318000.0
2022,越南,2465220000.0
2022,香港,49203732000.0
2022,馬來西亞,9295321000.0
2023,中國大陸,47272674000.0
2023,南韓,11375843000.0
2023,新加坡,21095455000.0
2023,日本,15655638000.0
2023,泰國,2381079000.0
2023,美國,3497694000.0
2023,菲律賓,2612226000.0
2023,越南,2759098000.0
2023,香港,43111524000.0
2023,馬來西亞,8713185000.0
2024,中國大陸,48472056000.0
2024,南韓,13402463000.0
2024,新加坡,20998814000.0
2024,日本,10423837000.0
2024,泰國,2416877000.0
2024,美國,7403122000.0
2024,菲律賓,1644621000.0
2024,越南,4348984000.0
2024,香港,36791637000.0
2024,馬來西亞,9913750000.0
2025,中國大陸,27337859000.0
2025,南韓,9019694000.0
2025,新加坡,11762333000.0
2025,日本,6261911000.0
2025,泰國,1674352000.0
2025,美國,4774427000.0
2025,菲律賓,996294000.0
2025,越南,3762535000.0
2025,香港,29502178000.0
2025,馬來西亞,8274875000.0
