model,variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
ModelB_TWFE(HAC),Intercept,25.002742565714474,0.09479774053282755,263.7482963748093,0.0,24.81694240845436,25.18854272297459
ModelB_TWFE(HAC),C(Country)[T.Korea],-0.22801737781909415,0.06838748862629845,-3.33419726910998,0.0008554596401519859,-0.36205439251978166,-0.0939803631184066
ModelB_TWFE(HAC),C(Country)[T.Taiwan],0.0005346334271445017,0.0702813997836668,0.007607040110045574,0.9939305186800155,-0.13721437893190358,0.13828364578619257
ModelB_TWFE(HAC),C(Country)[T.USA],-0.8792145178383721,0.06712067706673254,-13.099011456100806,3.335739751442976e-39,-1.0107686275071115,-0.7476604081696328
ModelB_TWFE(HAC),C(Year)[T.2014],-0.033340193084693936,0.10096820905894208,-0.33020485750352346,0.7412451767449633,-0.23123424642373122,0.16455386025434335
ModelB_TWFE(HAC),C(Year)[T.2015],-0.016529258740985764,0.09405051392116832,-0.17574873386487108,0.8604913470457833,-0.20086487875395864,0.16780636127198711
ModelB_TWFE(HAC),C(Year)[T.2016],-0.008357415776547583,0.10676712080646643,-0.0782770548968612,0.9376076689894892,-0.21761712729025884,0.20090229573716367
ModelB_TWFE(HAC),C(Year)[T.2017],0.20362287864622658,0.12162426571234063,1.6741961602286242,0.09409205389432311,-0.03475630179609082,0.44200205908854395
ModelB_TWFE(HAC),C(Year)[T.2018],0.3375060363362756,0.13860868901661283,2.434955836685131,0.014893607351043925,0.06583799791940192,0.6091740747531493
ModelB_TWFE(HAC),C(Year)[T.2019],0.3279412130515634,0.09131673885186753,3.591249722392562,0.0003290961151641006,0.14896369371625354,0.5069187323868732
ModelB_TWFE(HAC),C(Year)[T.2020],0.4124470395846984,0.09409328317370591,4.383384506025564,1.168496086347044e-05,0.22802759337710615,0.5968664857922907
ModelB_TWFE(HAC),C(Year)[T.2021],0.6560287836072936,0.10044772302142901,6.531046835848531,6.53115692575381e-11,0.45915486415623785,0.8529027030583493
ModelB_TWFE(HAC),C(Year)[T.2022],0.6597181033625397,0.10325350930390498,6.38930441987011,1.6664202131396344e-10,0.4573449438495145,0.8620912628755648
ModelB_TWFE(HAC),C(Year)[T.2023],0.4992476616604,0.11148685834047897,4.478085301638926,7.5315508048088265e-06,0.2807374345635423,0.7177578887572578
ModelB_TWFE(HAC),C(Year)[T.2024],0.6574167497994452,0.12471041303926302,5.271546567586689,1.3527895374571816e-07,0.4129888317453754,0.901844667853515
ModelB_TWFE(HAC),TW_TradeWar2018,-0.02687886220379103,0.07763054704283286,-0.3462407934464322,0.7291617597200499,-0.17903193850788585,0.12527421410030376
ModelB_TWFE(HAC),TW_Covid2020,0.14161215366241772,0.0686349234306246,2.0632667246370233,0.03908729371138313,0.007090175656729203,0.27613413166810624
ModelB_TWFE(HAC),TW_ChipShort2021,-0.004153069307511137,0.042750844415392654,-0.09714590119337628,0.9226105293366452,-0.08794318467035604,0.07963704605533377
ModelB_TWFE(HAC),TW_ChipAct2022,0.1653675992471324,0.04954667666657509,3.3376123359388057,0.0008450155583380494,0.06825789742699416,0.26247730106727063
ModelB_TWFE(HAC),TW_USBan2023,-0.02332925259532903,0.07797986670911893,-0.2991702035392287,0.7648101828576486,-0.17616698286443608,0.12950847767377802
