variable,model,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,baseline_HAC,22.641719226037935,1.3274514883121158,17.056532329348915,3.1256761349810135e-65,20.039962117722094,25.243476334353776
TradeWar2018,baseline_HAC,0.15138280838957385,0.09474351060749751,1.5978171741674325,0.11008367133775723,-0.034311060170009844,0.33707667694915755
Covid2020,baseline_HAC,0.1532313924859099,0.08050035861970348,1.9034870789805969,0.05697701810826207,-0.0045464111512674155,0.3110091961230872
ChipAct2022,baseline_HAC,0.004198985100151376,0.07903098341005887,0.05313087246257066,0.9576276335162002,-0.15069889604634654,0.1590968662466493
GlobalDemand,baseline_HAC,0.022870869771293156,0.012829934029699498,1.782617877718646,0.07464852761729433,-0.0022753388509427035,0.04801707839352902
Country_Korea,baseline_HAC,-0.228017377819082,0.07285625066365185,-3.1296886093102287,0.0017499169365095392,-0.37081300516846205,-0.08522175046970196
Country_Taiwan,baseline_HAC,0.07992969577763626,0.061188050549325364,1.306295838158837,0.1914519718817641,-0.03999667958325773,0.19985607113853024
Country_USA,baseline_HAC,-0.8792145178383695,0.06959878872608263,-12.632612347589285,1.395666120220581e-36,-1.0156256371091037,-0.7428033985676351
const,with_interactions_HAC,22.661567991625617,1.302109632320498,17.40373270355146,7.729773364555439e-68,20.109480008354748,25.213655974896486
TradeWar2018,with_interactions_HAC,0.15810252394053137,0.1026941701852878,1.5395472172886937,0.12367075999115079,-0.04317435104485973,0.35937939892592247
Covid2020,with_interactions_HAC,0.11834748773374848,0.09098193043853983,1.3007801347290013,0.19333372355793843,-0.059973819169718084,0.29666879463721507
ChipAct2022,with_interactions_HAC,-0.03273557228229862,0.07656295732234336,-0.4275641044594995,0.6689685044299634,-0.18279621118396883,0.11732506661937159
GlobalDemand,with_interactions_HAC,0.02287086977129338,0.012618814652026057,1.812442008380024,0.06991792687310436,-0.0018615524742640298,0.04760329201685079
Country_Korea,with_interactions_HAC,-0.22801737781908485,0.07645603968291513,-2.9823330997098143,0.0028606057278809257,-0.3778684619981637,-0.07816629364000602
Country_Taiwan,with_interactions_HAC,0.0005346334271294773,0.07442817063948165,0.007183213325491466,0.994268674278699,-0.14534190046145604,0.146411167315715
Country_USA,with_interactions_HAC,-0.879214517838364,0.0692091149388412,-12.703738786651288,5.637090019050881e-37,-1.014861890520386,-0.7435671451563423
TW_TradeWar2018,with_interactions_HAC,-0.026878862203804116,0.07813115721757746,-0.3440223229889276,0.7308294982679648,-0.18001311642069265,0.12625539201308442
TW_Covid2020,with_interactions_HAC,0.1395356190086509,0.08887402908310182,1.570038181549954,0.11640622879452218,-0.03465427715519398,0.3137255151724958
TW_ChipAct2022,with_interactions_HAC,0.14773822952980575,0.07786412208906307,1.8973851571949762,0.057777123154586475,-0.004872645452587532,0.30034910451219904
